id,name,country,page_lang,native_lang,owner_found,source,would_be,native_url,wikipedia_url
613,Tsentralnyi Polissya,Ukraine,en,uk,,none,UNKNOWN,https://uk.wikipedia.org/wiki/%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9_%D1%81%D1%82%D0%B0%D0%B4%D1%96%D0%BE%D0%BD_%28%D0%96%D0%B8%D1%82%D0%BE%D0%BC%D0%B8%D1%80%29,https://en.wikipedia.org/wiki/Tsentralnyi_Stadium_(Zhytomyr)
616,Girnyk,Ukraine,en,uk,,none,UNKNOWN,https://uk.wikipedia.org/wiki/%D0%93%D1%96%D1%80%D0%BD%D0%B8%D0%BA_%28%D1%81%D1%82%D0%B0%D0%B4%D1%96%D0%BE%D0%BD%2C_%D0%9A%D1%80%D0%B8%D0%B2%D0%B8%D0%B9_%D0%A0%D1%96%D0%B3%29,https://en.wikipedia.org/wiki/Hirnyk_Stadium_(Kryvyi_Rih)
618,KSK Nika,Ukraine,en,uk,,none,UNKNOWN,https://uk.wikipedia.org/wiki/%D0%9D%D1%96%D0%BA%D0%B0_%28%D1%81%D1%82%D0%B0%D0%B4%D1%96%D0%BE%D0%BD%29,https://en.wikipedia.org/wiki/CSC_Nika_Stadium
620,Stadion Zirka imeni Stanislava Berezkina,Ukraine,en,uk,,none,UNKNOWN,https://uk.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D0%B4%D1%96%D0%BE%D0%BD_%C2%AB%D0%97%D1%96%D1%80%D0%BA%D0%B0%C2%BB_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%A1%D1%82%D0%B0%D0%BD%D1%96%D1%81%D0%BB%D0%B0%D0%B2%D0%B0_%D0%91%D0%B5%D1%80%D0%B5%D0%B7%D0%BA%D1%96%D0%BD%D0%B0,https://en.wikipedia.org/wiki/Zirka_Stadium
621,Arena Livyi Bereg,Ukraine,en,uk,,none,UNKNOWN,https://uk.wikipedia.org/wiki/%D0%90%D1%80%D0%B5%D0%BD%D0%B0_%D0%9B%D1%96%D0%B2%D0%B8%D0%B9_%D0%B1%D0%B5%D1%80%D0%B5%D0%B3,https://en.wikipedia.org/wiki/Arena_Livyi_Bereh
663,Meistaravellir,Iceland,en,is,,none,UNKNOWN,https://is.wikipedia.org/wiki/Meistaravellir_%28knattspyrnuv%C3%B6llur%29,https://en.wikipedia.org/wiki/KR-v%C3%B6llur
667,Samsung völlurinn,Iceland,en,is,,none,UNKNOWN,https://is.wikipedia.org/wiki/Stj%C3%B6rnuv%C3%B6llur,https://en.wikipedia.org/wiki/Stj%C3%B6rnuv%C3%B6llur
669,Akranesvöllur,Iceland,en,is,,none,UNKNOWN,,https://en.wikipedia.org/wiki/Akranesv%C3%B6llur
670,KA-Völlur,Iceland,en,is,,none,UNKNOWN,,https://en.wikipedia.org/wiki/KA-V%C3%B6llur
712,Ta' Qali National Stadium,Malta,en,mt,,none,UNKNOWN,https://mt.wikipedia.org/wiki/Grawnd_Nazzjonali_Ta%27_Qali,https://en.wikipedia.org/wiki/Ta%27_Qali_National_Stadium
