id,name,country,proposed_type,confidence,evidence,source,wikipedia_url
68,U-Power Stadium,Italy,OPEN,low(default),,default,https://it.wikipedia.org/wiki/Stadio_Brianteo
82,Tullo Morgagni,Italy,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadio_Tullo_Morgagni
105,Tullio Saleri,Italy,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadio_Tullio_Saleri
106,Città di Meda - Mino Favini,Italy,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadio_Citt%C3%A0_di_Meda
107,Gavagnin-Nocini,Italy,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadio_Gavagnin_Nocini
109,AlbinoLeffe Stadium,Italy,OPEN,low(default),,default,https://it.wikipedia.org/wiki/AlbinoLeffe_Stadium
110,Dal Molin,Italy,OPEN,low(default),,default,https://it.wikipedia.org/wiki/Stadio_Tommaso_Dal_Molin
111,Carlo Speroni,Italy,OPEN,low(default),,default,https://it.wikipedia.org/wiki/Stadio_Carlo_Speroni
112,Comunale Gino Corioni,Italy,OPEN,low(default),,default,https://it.wikipedia.org/wiki/Stadio_Gino_Corioni
117,Stadio Città dell’Aria,Italy,OPEN,low(default),,default,https://it.wikipedia.org/wiki/Stadio_Citt%C3%A0_dell%27Aria
119,Mimmo Pavone e Alessandro Mariani,Italy,OPEN,low(default),,default,https://it.wikipedia.org/wiki/Stadio_Mimmo_Pavone-Alessandro_Mariani
125,Giuseppe Sivori,Italy,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadio_Attilio_Bravi
128,Romeo Menti,Italy,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadio_Romeo_Menti_(Castellammare_di_Stabia)
181,Complexo Desportivo FC Alverca,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_Municipal_de_Alverca
212,Volksparkstadion,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Volksparkstadion
231,Stadion Bruk-Bet,Poland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadion_Sportowy_Bruk-Bet_Termalica
383,Profertil Arena Hartberg,Austria,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadion_Hartberg
387,Schnabelholz,Austria,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadion_Schnabelholz
439,Alfonso Murube,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Alfonso_Murube
448,La Rosaleda,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/La_Rosaleda_Stadium
454,Ibercaja Estadio,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Ibercaja_Stadium
465,Vejle Stadion,Denmark,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Vejle_Stadium
613,Tsentralnyi Polissya,Ukraine,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Tsentralnyi_Stadium_(Zhytomyr)
628,Hietalahti Stadium,Finland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Hietalahti_Stadium
756,Zemgales Olimpiskais centrs,Latvia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Zemgale_Olympic_Center
778,Principality Stadium,Wales,RETRACTABLE,high,retractable roof,primary,https://en.wikipedia.org/wiki/Principality_Stadium
779,Hampden Park,Scotland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Hampden_Park
780,Aviva Stadium,Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Aviva_Stadium
781,Timsah Arena,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Centennial_Atat%C3%BCrk_Stadium
784,Yeni Ankara Stadyumu,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/New_Ankara_Stadium
785,Stade de France,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_de_France
786,Puskás Aréna,Hungary,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Pusk%C3%A1s_Ar%C3%A9na
787,Windsor Park,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Windsor_Park
788,King Baudouin Stadium,Belgium,OPEN,low(default),,default,https://en.wikipedia.org/wiki/King_Baudouin_Stadium
789,PGE Narodowy,Poland,RETRACTABLE,high,retractable roof,primary,https://en.wikipedia.org/wiki/PGE_Narodowy
790,Republican Stadium (Yerevan),Armenia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Vazgen_Sargsyan_Republican_Stadium
791,Boris Paichadze Dinamo Arena,Georgia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Boris_Paichadze_Dinamo_Arena
792,Baku Olympic Stadium,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Baku_Olympic_Stadium
793,Stadion Śląski,Poland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Silesian_Stadium
794,Tarczyński Arena,Poland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Wroc%C5%82aw_Stadium
795,Stadion Miejski (Kraków),Poland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Henryk_Reyman_Municipal_Stadium
799,Tychy City Stadium,Poland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Tychy_Municipal_Stadium
