stadium_id,stadium_name,capacity,address,year_of_construction,owner_raw,ownership,stadium_type,surface,architect,wikipedia_url,transfermarkt_url,image_url,image_credit
171,Estádio Municipal de Famalicão,5186,"Vila Nova de Famalicão, Portugal",1952,Vila Nova de Famalicão Municipality,Public,Open,Natural grass,,https://en.wikipedia.org/wiki/Est%C3%A1dio_Municipal_22_de_Junho,https://www.transfermarkt.com/fc-famalicao/stadion/verein/3329,https://en.wikipedia.org/wiki/File:Blick_von_der_Gegentrib%C3%BCne_-_Est%C3%A1dio_Municipal_22_de_Junho.jpg,
175,Estádio Pina Manique,2574,"Parque de Monsanto, 1500-462 Lisboa, Portugal",1954,,,Open,Natural grass,,,https://www.transfermarkt.com/casa-pia-ac/stadion/verein/3268/stadion_id/5613,,
643,Luke Stadium,5000,"Gračanica, Bosnia and Herzegovina",,,,Open,,,,https://www.transfermarkt.com/nk-bratstvo-gracanica/stadion/verein/3492,,
690,Stadion pod Vrmcem,425,"Njegoševa bb, 85330 Kotor, Montenegro",1922,Municipality of Kotor,Public,Open,Natural grass,,https://en.wikipedia.org/wiki/Stadion_pod_Vrmcem,https://www.transfermarkt.com/fk-bokelj/stadion/verein/4949,,
725,Tukums Stadium,350,"Kuldīgas iela 74, LV-3104 Tukums, Latvia",,,,Open,Natural grass,,,https://www.transfermarkt.com/fk-tukums-2000/stadion/verein/28937,,
726,Grobiņas Stadion,200,"Grobiņa, Latvia",,,,Open,,,https://en.wikipedia.org/wiki/FK_Grobi%C5%86a,,,
727,Ogres Sporta Komplekss,1250,"Skolas iela 21, LV-5001 Ogre, Latvia",,Ogre Municipality / Ogre Sports Centre,Public,Open,Natural grass,,,https://www.transfermarkt.com/ogre-united/stadion/verein/107916,,
732,Cricova teren sintetic,0,"Cricova, Moldova",,,,Open,Artificial turf,,,https://www.transfermarkt.com/politehnica-utm-shisinau/startseite/verein/90107,,
796,Ullevaal Stadion,27182,"Sognsveien 75, Oslo, Norway",1926,Football Association of Norway,Private,Open,Natural grass,,https://en.wikipedia.org/wiki/Ullevaal_Stadion,https://www.transfermarkt.com/norway/stadion/verein/3440,,
797,Bilino Polje,13812,"Bulevar Kulina Bana bb, Zenica, Bosnia and Herzegovina",1972,City of Zenica,Public,Open,Hybrid grass,,https://en.wikipedia.org/wiki/Bilino_Polje_Stadium,https://www.transfermarkt.com/nk-celik-zenica/stadion/verein/765,,
857,David Petriashvili Stadium,2130,"Tbilisi, Georgia",2015,Georgian Football Federation,Private,Open,Natural grass,,,https://www.transfermarkt.com/fc-tskhinvali/stadion/verein/19090,,
861,Tskaltubo Central Stadium,12000,"Tskaltubo, Georgia",,,,Open,,,,https://www.transfermarkt.com/fc-samgurali-tskaltubo/stadion/verein/29675,,
864,Nisporeni Central Stadium,5200,"8 Great National Assembly Street, Nisporeni, Moldova",2021,Nisporeni,Public,Open,Grass,,https://en.wikipedia.org/wiki/Nisporeni_Central_Stadium,https://www.transfermarkt.com/sporting-trestieni/stadion/verein/86958,https://commons.wikimedia.org/wiki/Category:Nisporeni_Central_Stadium,
979,Nairi Stadium,6850,"Yerevan, Armenia",1960,FC Urartu,Private,Open,Grass,,https://en.wikipedia.org/wiki/Nairi_Stadium,,,
990,Ferizaj City Stadium,3000,"Ferizaj, Kosovo",,,,Open,Artificial turf,,https://en.wikipedia.org/wiki/FC_Ferizaj,https://www.transfermarkt.com/kf-ferizaj/stadion/verein/29051,,
994,Sami Kelmendi Stadium,2500,"Xhevdet Breznica, Lipjan, Kosovo",,,,Open,Artificial turf,,,https://www.transfermarkt.com/kf-arberia/stadion/verein/81007,,
1005,Tiberias Municipal Stadium,7554,"Tiberias, Israel",,Municipality of Tiberias,Public,Open,Grass,Moti Bodek,https://en.wikipedia.org/wiki/Tiberias_Football_Stadium,,,
1011,Bridge Meadow,2467,"Bridge Meadow Lane, Sydney Rees Way, Haverfordwest, Pembrokeshire SA61 2EX, Wales",,,,Open,Natural grass,,https://en.wikipedia.org/wiki/Bridge_Meadow_Stadium,https://www.transfermarkt.com/haverfordwest-county/stadion/verein/25232,,
1013,Llanelian Road,3000,"Llanelian Road, LL29 8UN Old Colwyn, Wales",1984,Colwyn Bay F.C.,Private,Open,Grass,,https://en.wikipedia.org/wiki/Llanelian_Road,https://www.transfermarkt.com/colwyn-bay-fc/stadion/verein/22546,,
