stadium_id,stadium_name,surface,surface_raw,source_url,wikipedia_url,transfermarkt_url,notes
989,18 June Stadium,,,,,https://www.transfermarkt.com/kf-dukagjini/stadion/verein/46887,
644,A. Le Coq Arena,,,,https://en.wikipedia.org/wiki/A._Le_Coq_Arena,https://www.transfermarkt.com/fc-flora-tallinn/stadion/verein/1002/saison_id/2025,
312,AFAS Stadion,,,,https://en.wikipedia.org/wiki/AFAS_Stadion,https://www.transfermarkt.com/az-alkmaar/stadion/verein/1090,
914,AFAS Trainingscomplex,,,,,https://www.transfermarkt.com/az-alkmaar-ii/stadion/verein/11368,
485,AIL Arena,,,,https://en.wikipedia.org/wiki/Cornaredo_Stadium,https://www.transfermarkt.com/fc-lugano/stadion/verein/2790,
982,Abovyan City Stadium,,,,https://en.wikipedia.org/wiki/Vahagn_Tumasyan_Stadium,https://www.transfermarkt.com/fc-noah-erewan/stadion/verein/60368,
334,Achter de Kazerne,,,,https://en.wikipedia.org/wiki/Achter_de_Kazerne,https://www.transfermarkt.com/kv-mechelen/stadion/verein/354,
856,Adjarabet Arena,,,,https://en.wikipedia.org/wiki/Adjarabet_Arena,https://www.transfermarkt.com/dinamo-batumi/stadion/verein/11344,
825,Ak Bars Arena,,,,https://en.wikipedia.org/wiki/Ak_Bars_Arena,https://www.transfermarkt.com/rubin-kazan/stadion/verein/2698,
813,Akhmat Arena,,,,https://en.wikipedia.org/wiki/Akhmat-Arena,https://www.transfermarkt.com/akhmat-grozny/stadion/verein/3725,
93,Alberto De Cristofaro,,,,,https://www.transfermarkt.com/fc-giugliano-1928/stadion/verein/9818/saison_id/2025,
109,AlbinoLeffe Stadium,,,,https://it.wikipedia.org/wiki/AlbinoLeffe_Stadium,https://www.transfermarkt.com/uc-albinoleffe/stadion/verein/4541/saison_id/2025,
439,Alfonso Murube,,,,https://en.wikipedia.org/wiki/Estadio_Alfonso_Murube,https://www.transfermarkt.com/ad-ceuta/stadion/verein/8568,
385,Allianz-Stadion,,,,https://en.wikipedia.org/wiki/Allianz_Stadion,https://www.transfermarkt.com/sk-rapid-wien/stadion/verein/170,
369,Andrův stadion,,,,https://en.wikipedia.org/wiki/Andr%C5%AFv_stadion,https://www.transfermarkt.com/sk-sigma-olomouc/stadion/verein/2311,
1058,Ankara Aktepe Stadium,,,,https://en.wikipedia.org/wiki/Ankara_Aktepe_Stadium,https://www.transfermarkt.com/ankara-keciorengucu/stadion/verein/12388/saison_id/2025,
238,Anoeta,,,,https://en.wikipedia.org/wiki/Reale_Arena,https://www.transfermarkt.com/real-sociedad-de-futbol/stadion/verein/681,
817,Anzhi Arena,,,,https://en.wikipedia.org/wiki/Anzhi_Arena,https://www.transfermarkt.com/fk-makhachkala/stadion/verein/75231,
811,ArcelorMittal Park,,,,,https://www.transfermarkt.com/wieczysta-krakow/stadion/verein/30974,
219,Arena Zabrze,,,,https://en.wikipedia.org/wiki/Ernest_Pohl_Stadium,https://www.transfermarkt.com/gornik-zabrze/stadion/verein/428,
841,Atlant Stadium,,,,https://en.wikipedia.org/wiki/Atlant_Stadium,https://www.transfermarkt.com/naftan-novopolotsk/stadion/verein/8563,
873,Audi Sportpark,,,,https://en.wikipedia.org/wiki/Audi_Sportpark,https://www.transfermarkt.com/fc-ingolstadt-04/stadion/verein/4795,
780,Aviva Stadium,,,,https://en.wikipedia.org/wiki/Aviva_Stadium,,
885,BRITA-Arena,,,,https://en.wikipedia.org/wiki/Brita-Arena,https://www.transfermarkt.com/sv-wehen-wiesbaden/stadion/verein/108,
388,BWT X Oberösterreichische Arena,,,,https://en.wikipedia.org/wiki/Keine_Sorgen_Arena,https://www.transfermarkt.com/sv-ried/stadion/verein/266,
440,Bahrain Victorious Nuevo Arcángel,,,,https://en.wikipedia.org/wiki/Estadio_Nuevo_Arc%C3%A1ngel,https://www.transfermarkt.com/cordoba-cf/stadion/verein/993,
987,Bajram Aliu Stadium,,,,https://en.wikipedia.org/wiki/Bajram_Aliu_Stadium,https://www.transfermarkt.com/kf-drenica/stadion/verein/19697,
792,Baku Olympic Stadium,,,,https://en.wikipedia.org/wiki/Baku_Olympic_Stadium,,
1024,Ballymena Showgrounds,,,,https://en.wikipedia.org/wiki/Ballymena_Showgrounds,https://www.transfermarkt.com/ballymena-united/stadion/verein/15244/saison_id/2025,
850,Bank Respublika Arena,,,,https://en.wikipedia.org/wiki/Bank_Respublika_Arena,https://www.transfermarkt.com/sabah-fk/stadion/verein/63993,
305,Başakşehir Fatih Terim,,,,https://en.wikipedia.org/wiki/Ba%C5%9Fak%C5%9Fehir_Fatih_Terim_Stadium,https://www.transfermarkt.com/istanbul-basaksehir-fk/stadion/verein/6890,
924,Benfica Campus,,,,https://en.wikipedia.org/wiki/Benfica_Campus,https://www.transfermarkt.com/benfica-lissabon-b/stadion/verein/10330,
904,Bingoal Stadion,,,,https://en.wikipedia.org/wiki/ADO_Den_Haag_Stadium,https://www.transfermarkt.com/ado-den-haag/stadion/verein/1268,
