stadium_id,stadium_name,field_name,old_value,new_value
989,18 June Stadium,surface,,GRASS
644,A. Le Coq Arena,surface,,GRASS
312,AFAS Stadion,surface,,GRASS
914,AFAS Trainingscomplex,surface,,ARTIFICIAL
485,AIL Arena,surface,,GRASS
982,Abovyan City Stadium,surface,,GRASS
334,Achter de Kazerne,surface,,GRASS
856,Adjarabet Arena,surface,,GRASS
825,Ak Bars Arena,surface,,GRASS
813,Akhmat Arena,surface,,GRASS
93,Alberto De Cristofaro,surface,,ARTIFICIAL
109,AlbinoLeffe Stadium,surface,,GRASS
439,Alfonso Murube,surface,,GRASS
385,Allianz-Stadion,surface,,GRASS
369,Andrův stadion,surface,,GRASS
1058,Ankara Aktepe Stadium,surface,,GRASS
238,Anoeta,surface,,GRASS
817,Anzhi Arena,surface,,GRASS
219,Arena Zabrze,surface,,GRASS
841,Atlant Stadium,surface,,GRASS
873,Audi Sportpark,surface,,GRASS
780,Aviva Stadium,surface,,GRASS
885,BRITA-Arena,surface,,GRASS
388,BWT X Oberösterreichische Arena,surface,,GRASS
440,Bahrain Victorious Nuevo Arcángel,surface,,GRASS
987,Bajram Aliu Stadium,surface,,GRASS
792,Baku Olympic Stadium,surface,,GRASS
1024,Ballymena Showgrounds,surface,,GRASS
850,Bank Respublika Arena,surface,,GRASS
305,Başakşehir Fatih Terim,surface,,GRASS
924,Benfica Campus,surface,,GRASS
904,Bingoal Stadion,surface,,GRASS
1001,Bloomfield Stadium,surface,,GRASS
570,Bonifika,surface,,GRASS
791,Boris Paichadze Dinamo Arena,surface,,GRASS
830,Borisov Arena,surface,,GRASS
1010,Bryntirion Park,surface,,ARTIFICIAL
936,CTFD PortoGaia,surface,,GRASS
1014,Cae-y-Castell,surface,,ARTIFICIAL
906,Cambuur Stadion,surface,,GRASS
941,Campo Municipal de Gobela,surface,,ARTIFICIAL
971,Can Misses,surface,,GRASS
1016,Cardiff International Sports Campus,surface,,ARTIFICIAL
111,Carlo Speroni,surface,,GRASS
433,Carlos Belmonte,surface,,GRASS
333,Cegeka Arena,surface,,GRASS
835,Central Stadium,surface,,GRASS
963,Centro Deportivo Alcalá de Henares,surface,,GRASS
985,Charentsavan City Stadium,surface,,ARTIFICIAL
586,Cherry Red Records Stadium,surface,,GRASS
85,Ciro Vigorito,surface,,GRASS
106,Città di Meda - Mino Favini,surface,,GRASS
965,Ciudad Deportiva Luis del Sol,surface,,GRASS
1027,Clandeboye Park,surface,,ARTIFICIAL
345,Cluj Arena,surface,,GRASS
242,Coliseum,surface,,GRASS
181,Complexo Desportivo FC Alverca,surface,,GRASS
112,Comunale Gino Corioni,surface,,GRASS
84,Comunale di Caravaggio,surface,,GRASS
921,Covebo Stadion - De Koel,surface,,GRASS
110,Dal Molin,surface,,GRASS
843,Dalga Arena,surface,,ARTIFICIAL
722,Daugava Stadium,surface,,GRASS
319,De Adelaarshorst,surface,,GRASS
915,De Herdgang,surface,,ARTIFICIAL
911,De Oude Meerdijk,surface,,ARTIFICIAL
405,Deepdale,surface,,GRASS
1007,Deeside Stadium,surface,,ARTIFICIAL
872,Dietmar-Hopp-Stadion,surface,,GRASS
511,"Dimotiko Stadio ""Tasos Markou""",surface,,GRASS
831,Dinamo Stadium,surface,,GRASS
996,Doha Stadium,surface,,GRASS
95,Domenico Francioni,surface,,GRASS
97,Domenico Monterisi,surface,,GRASS
100,Donato Curcio,surface,,ARTIFICIAL
883,Donaustadion,surface,,GRASS
350,Dr. Constantin Rădulescu,surface,,GRASS
65,Druso,surface,,GRASS
1046,Eduard Streltsov Stadium,surface,,GRASS
445,El Alcoraz,surface,,GRASS
962,El Maulí,surface,,GRASS
964,El Palmar,surface,,GRASS
972,El Pozuelo,surface,,GRASS
956,El Prado,surface,,GRASS
450,El Sardinero,surface,,GRASS
466,Energi Viborg Arena,surface,,GRASS
67,Enrico Sannazzari,surface,,ARTIFICIAL
303,Eryaman Stadyumu,surface,,GRASS
