stadium_id,stadium_name,surface,surface_raw,source_url,wikipedia_url,transfermarkt_url,notes
989,18 June Stadium,GRASS,"Natural grass Contact Address: Stadiumi ""18 Qershori"" Klinë 32000 Klinë Kosovo",https://www.transfermarkt.com/kf-dukagjini/stadion/verein/46887,,https://www.transfermarkt.com/kf-dukagjini/stadion/verein/46887,transfermarkt fallback: surface mapped
644,A. Le Coq Arena,GRASS,Natural grass,https://www.transfermarkt.com/fc-flora-tallinn/stadion/verein/1002/saison_id/2025,https://en.wikipedia.org/wiki/A._Le_Coq_Arena,https://www.transfermarkt.com/fc-flora-tallinn/stadion/verein/1002/saison_id/2025,transfermarkt: surface mapped
312,AFAS Stadion,GRASS,Hybrid grass,https://www.transfermarkt.com/az-alkmaar/stadion/verein/1090,https://en.wikipedia.org/wiki/AFAS_Stadion,https://www.transfermarkt.com/az-alkmaar/stadion/verein/1090,transfermarkt: surface mapped
914,AFAS Trainingscomplex,ARTIFICIAL,"Artificial turf Contact Address: Sportpark ""De Kalverhoek"" (AFAS Trainingscompl",https://www.transfermarkt.com/az-alkmaar-ii/stadion/verein/11368,,https://www.transfermarkt.com/az-alkmaar-ii/stadion/verein/11368,transfermarkt fallback: surface mapped
485,AIL Arena,GRASS,Hybrid grass Contact Address: AIL Arena Via Giacomo e Filippo Ciani 100 6900 Lu,https://www.transfermarkt.com/fc-lugano/stadion/verein/2790,https://en.wikipedia.org/wiki/Cornaredo_Stadium,https://www.transfermarkt.com/fc-lugano/stadion/verein/2790,transfermarkt fallback: surface mapped
982,Abovyan City Stadium,GRASS,Grass,https://en.wikipedia.org/wiki/Vahagn_Tumasyan_Stadium,https://en.wikipedia.org/wiki/Vahagn_Tumasyan_Stadium,https://www.transfermarkt.com/fc-noah-erewan/stadion/verein/60368,wikipedia: surface mapped
334,Achter de Kazerne,GRASS,Natural grass Contact Address: Achter de Kazerne Kleine Nieuwedijkstraat 53 280,https://www.transfermarkt.com/kv-mechelen/stadion/verein/354,https://en.wikipedia.org/wiki/Achter_de_Kazerne,https://www.transfermarkt.com/kv-mechelen/stadion/verein/354,transfermarkt fallback: surface mapped
856,Adjarabet Arena,GRASS,Hybrid grass,https://www.transfermarkt.com/dinamo-batumi/stadion/verein/11344,https://en.wikipedia.org/wiki/Adjarabet_Arena,https://www.transfermarkt.com/dinamo-batumi/stadion/verein/11344,transfermarkt: surface mapped
825,Ak Bars Arena,GRASS,Natural grass,https://www.transfermarkt.com/rubin-kazan/stadion/verein/2698,https://en.wikipedia.org/wiki/Ak_Bars_Arena,https://www.transfermarkt.com/rubin-kazan/stadion/verein/2698,transfermarkt: surface mapped
813,Akhmat Arena,GRASS,Natural grass,https://www.transfermarkt.com/akhmat-grozny/stadion/verein/3725,https://en.wikipedia.org/wiki/Akhmat-Arena,https://www.transfermarkt.com/akhmat-grozny/stadion/verein/3725,transfermarkt: surface mapped
93,Alberto De Cristofaro,ARTIFICIAL,Artificial turf,https://www.transfermarkt.com/fc-giugliano-1928/stadion/verein/9818/saison_id/2025,,https://www.transfermarkt.com/fc-giugliano-1928/stadion/verein/9818/saison_id/2025,transfermarkt: surface mapped
109,AlbinoLeffe Stadium,GRASS,Natural grass Contact Address: AlbinoLeffe Stadium Via Comun Nuovo 26-28 24050,https://www.transfermarkt.com/uc-albinoleffe/stadion/verein/4541/saison_id/2025,https://it.wikipedia.org/wiki/AlbinoLeffe_Stadium,https://www.transfermarkt.com/uc-albinoleffe/stadion/verein/4541/saison_id/2025,transfermarkt fallback: surface mapped
439,Alfonso Murube,GRASS,Natural grass,https://www.transfermarkt.com/ad-ceuta/stadion/verein/8568,https://en.wikipedia.org/wiki/Estadio_Alfonso_Murube,https://www.transfermarkt.com/ad-ceuta/stadion/verein/8568,transfermarkt: surface mapped
385,Allianz-Stadion,GRASS,Natural grass,https://www.transfermarkt.com/sk-rapid-wien/stadion/verein/170,https://en.wikipedia.org/wiki/Allianz_Stadion,https://www.transfermarkt.com/sk-rapid-wien/stadion/verein/170,transfermarkt: surface mapped
369,Andrův stadion,GRASS,Natural grass,https://www.transfermarkt.com/sk-sigma-olomouc/stadion/verein/2311,https://en.wikipedia.org/wiki/Andr%C5%AFv_stadion,https://www.transfermarkt.com/sk-sigma-olomouc/stadion/verein/2311,transfermarkt: surface mapped
1058,Ankara Aktepe Stadium,GRASS,Natural grass,https://www.transfermarkt.com/ankara-keciorengucu/stadion/verein/12388/saison_id/2025,https://en.wikipedia.org/wiki/Ankara_Aktepe_Stadium,https://www.transfermarkt.com/ankara-keciorengucu/stadion/verein/12388/saison_id/2025,transfermarkt: surface mapped
238,Anoeta,GRASS,Natural grass,https://www.transfermarkt.com/real-sociedad-de-futbol/stadion/verein/681,https://en.wikipedia.org/wiki/Reale_Arena,https://www.transfermarkt.com/real-sociedad-de-futbol/stadion/verein/681,transfermarkt: surface mapped
817,Anzhi Arena,GRASS,Natural grass,https://www.transfermarkt.com/fk-makhachkala/stadion/verein/75231,https://en.wikipedia.org/wiki/Anzhi_Arena,https://www.transfermarkt.com/fk-makhachkala/stadion/verein/75231,transfermarkt: surface mapped
811,ArcelorMittal Park,,,https://www.transfermarkt.com/wieczysta-krakow/stadion/verein/30974,,https://www.transfermarkt.com/wieczysta-krakow/stadion/verein/30974,transfermarkt: surface not found
219,Arena Zabrze,GRASS,Natural grass,https://www.transfermarkt.com/gornik-zabrze/stadion/verein/428,https://en.wikipedia.org/wiki/Ernest_Pohl_Stadium,https://www.transfermarkt.com/gornik-zabrze/stadion/verein/428,transfermarkt: surface mapped
